protein id	RAW
4686seudomonas_132	8481
2211seudomonas_320	5193
2418seudomonas_192	5027
4799seudomonas_245	4002
1951seudomonas_60	3448
3961seudomonas_783	2750
2212seudomonas_321	2587
3294seudomonas_116	2512
3923seudomonas_745	2493
6081seudomonas_31	2109
4687seudomonas_133	2092
4057seudomonas_879	2011
826seudomonas_20	1683
234seudomonas_234	1664
6367seudomonas_195	1655
2777seudomonas_71	1579
1895seudomonas_4	1512
3295seudomonas_117	1345
3305seudomonas_127	1271
5451seudomonas_40	1242
1930seudomonas_39	1219
4045seudomonas_867	1202
2206seudomonas_315	1187
6228seudomonas_56	1162
824seudomonas_18	1152
5491seudomonas_80	1135
1255seudomonas_449	1103
3468seudomonas_290	1099
1503seudomonas_128	1061
2410seudomonas_184	1052
2216seudomonas_325	1041
1414seudomonas_39	1022
4882seudomonas_328	1008
2203seudomonas_312	967
3289seudomonas_111	930
4655seudomonas_101	888
2565seudomonas_339	873
4800seudomonas_246	848
3302seudomonas_124	839
3957seudomonas_779	826
5945seudomonas_347	803
3772seudomonas_594	796
1981seudomonas_90	757
6415seudomonas_243	755
1929seudomonas_38	751
4357seudomonas_1179	723
2409seudomonas_183	714
6221seudomonas_49	712
2215seudomonas_324	709
3639seudomonas_461	708
188seudomonas_188	697
3661seudomonas_483	691
2201seudomonas_310	659
3924seudomonas_746	659
3056seudomonas_350	654
3066seudomonas_360	652
4033seudomonas_855	651
3299seudomonas_121	646
4152seudomonas_974	646
3298seudomonas_120	640
2185seudomonas_294	624
3903seudomonas_725	619
2932seudomonas_226	612
4711seudomonas_157	612
4695seudomonas_141	607
2610seudomonas_384	603
2202seudomonas_311	565
6209seudomonas_37	553
5052seudomonas_34	549
1427seudomonas_52	544
6078seudomonas_28	542
2213seudomonas_322	521
4272seudomonas_1094	521
3481seudomonas_303	505
1122seudomonas_316	502
4689seudomonas_135	494
4487seudomonas_1309	489
184seudomonas_184	469
2186seudomonas_295	462
984seudomonas_178	457
2208seudomonas_317	451
5622seudomonas_24	445
386seudomonas_386	438
229seudomonas_229	422
5626seudomonas_28	418
658seudomonas_658	418
956seudomonas_150	418
2188seudomonas_297	417
3405seudomonas_227	415
4436seudomonas_1258	408
4727seudomonas_173	404
2218seudomonas_327	400
4138seudomonas_960	400
4356seudomonas_1178	398
3837seudomonas_659	391
3981seudomonas_803	376
168seudomonas_168	374
1922seudomonas_31	368
2890seudomonas_184	365
6295seudomonas_123	361
5595seudomonas_184	360
2205seudomonas_314	355
2192seudomonas_301	354
1179seudomonas_373	348
3285seudomonas_107	347
2944seudomonas_238	342
2209seudomonas_318	335
3287seudomonas_109	335
966seudomonas_160	334
941seudomonas_135	331
359seudomonas_359	330
1934seudomonas_43	328
2204seudomonas_313	326
3890seudomonas_712	326
5316seudomonas_298	325
4692seudomonas_138	322
5359seudomonas_341	309
385seudomonas_385	307
3136seudomonas_67	304
3925seudomonas_747	302
3651seudomonas_473	297
1446seudomonas_71	292
2194seudomonas_303	291
2183seudomonas_292	289
2784seudomonas_78	285
4861seudomonas_307	280
1504seudomonas_129	278
1931seudomonas_40	275
3622seudomonas_444	272
1260seudomonas_2	270
6097seudomonas_47	270
4722seudomonas_168	269
2424seudomonas_198	268
3065seudomonas_359	266
885seudomonas_79	266
2564seudomonas_338	264
1013seudomonas_207	261
3621seudomonas_443	258
6413seudomonas_241	257
4764seudomonas_210	255
1262seudomonas_4	254
4826seudomonas_272	254
3296seudomonas_118	253
3510seudomonas_332	253
3480seudomonas_302	252
4818seudomonas_264	251
4779seudomonas_225	246
4823seudomonas_269	246
2219seudomonas_328	245
3599seudomonas_421	240
5577seudomonas_166	240
5633seudomonas_35	240
1897seudomonas_6	237
2043seudomonas_152	234
3070seudomonas_1	232
4353seudomonas_1175	228
2217seudomonas_326	225
2198seudomonas_307	224
2414seudomonas_188	219
5582seudomonas_171	219
6196seudomonas_24	218
2159seudomonas_268	217
3064seudomonas_358	217
3931seudomonas_753	217
1946seudomonas_55	216
2563seudomonas_337	216
4486seudomonas_1308	216
6297seudomonas_125	216
1386seudomonas_11	213
827seudomonas_21	213
1947seudomonas_56	203
4658seudomonas_104	203
1087seudomonas_281	202
981seudomonas_175	201
1293seudomonas_35	200
4029seudomonas_851	199
5617seudomonas_19	197
822seudomonas_16	197
180seudomonas_180	196
6305seudomonas_133	196
2891seudomonas_185	195
922seudomonas_116	195
2059seudomonas_168	194
3394seudomonas_216	194
3618seudomonas_440	194
5751seudomonas_153	193
6355seudomonas_183	192
3475seudomonas_297	191
2210seudomonas_319	187
5668seudomonas_70	186
2187seudomonas_296	183
2195seudomonas_304	180
3417seudomonas_239	180
1952seudomonas_61	178
1502seudomonas_127	177
3227seudomonas_49	176
1066seudomonas_260	173
3315seudomonas_137	173
5490seudomonas_79	172
4435seudomonas_1257	171
2220seudomonas_329	170
2521seudomonas_295	170
5262seudomonas_244	170
1342seudomonas_84	169
5264seudomonas_246	168
5801seudomonas_203	168
2200seudomonas_309	167
4748seudomonas_194	167
2420seudomonas_194	165
2421seudomonas_195	165
4759seudomonas_205	165
2082seudomonas_191	164
2099seudomonas_208	164
11seudomonas_11	163
1340seudomonas_82	163
192seudomonas_192	162
2406seudomonas_180	162
4292seudomonas_1114	162
4868seudomonas_314	162
1800seudomonas_193	161
2921seudomonas_215	159
6220seudomonas_48	159
2184seudomonas_293	158
