protein id	RAW
5945seudomonas_347	16839
2667seudomonas_441	7555
1951seudomonas_60	4084
435seudomonas_435	4063
4045seudomonas_867	3463
3837seudomonas_659	3268
4799seudomonas_245	3060
2211seudomonas_320	3012
913seudomonas_107	2879
3295seudomonas_117	2442
2212seudomonas_321	2317
3961seudomonas_783	2252
4882seudomonas_328	2195
1122seudomonas_316	2144
5451seudomonas_40	2116
4655seudomonas_101	1967
3981seudomonas_803	1821
1929seudomonas_38	1710
6209seudomonas_37	1521
1386seudomonas_11	1427
2216seudomonas_325	1321
5974seudomonas_376	1289
4375seudomonas_1197	1270
3481seudomonas_303	1248
2777seudomonas_71	1184
4732seudomonas_178	1152
4272seudomonas_1094	1106
3296seudomonas_118	1088
3923seudomonas_745	1067
5052seudomonas_34	1022
4686seudomonas_132	1012
1930seudomonas_39	999
3294seudomonas_116	991
6355seudomonas_183	951
6081seudomonas_31	920
1895seudomonas_4	908
1981seudomonas_90	876
1401seudomonas_26	787
2152seudomonas_261	781
3064seudomonas_358	780
168seudomonas_168	769
6228seudomonas_56	745
3262seudomonas_84	744
3285seudomonas_107	739
2409seudomonas_183	731
5491seudomonas_80	726
3289seudomonas_111	715
2921seudomonas_215	713
2217seudomonas_326	695
4033seudomonas_855	664
2610seudomonas_384	659
5580seudomonas_169	654
1255seudomonas_449	649
4647seudomonas_93	645
1934seudomonas_43	640
5632seudomonas_34	600
2418seudomonas_192	584
234seudomonas_234	579
2586seudomonas_360	579
1293seudomonas_35	578
6415seudomonas_243	571
1066seudomonas_260	553
3066seudomonas_360	552
3957seudomonas_779	545
3639seudomonas_461	539
6196seudomonas_24	532
824seudomonas_18	530
3718seudomonas_540	528
1452seudomonas_77	525
2521seudomonas_295	519
4128seudomonas_950	501
5622seudomonas_24	481
184seudomonas_184	477
1357seudomonas_99	474
5633seudomonas_35	474
3214seudomonas_36	459
3599seudomonas_421	454
180seudomonas_180	452
5437seudomonas_26	452
3903seudomonas_725	423
1013seudomonas_207	422
1427seudomonas_52	417
4711seudomonas_157	411
3772seudomonas_594	410
1476seudomonas_101	392
6111seudomonas_61	391
6202seudomonas_30	389
4695seudomonas_141	384
2798seudomonas_92	378
1309seudomonas_51	375
4164seudomonas_986	374
1588seudomonas_213	370
3056seudomonas_350	364
5664seudomonas_66	364
2923seudomonas_217	360
1587seudomonas_212	359
5551seudomonas_140	356
1503seudomonas_128	354
3417seudomonas_239	346
2346seudomonas_120	345
1954seudomonas_63	341
1595seudomonas_220	324
2347seudomonas_121	324
3302seudomonas_124	319
5453seudomonas_42	319
720seudomonas_720	318
