protein id	RAW
2777seudomonas_71	4725
4799seudomonas_245	3626
2418seudomonas_192	1866
1951seudomonas_60	1245
5451seudomonas_40	1245
4033seudomonas_855	1204
4687seudomonas_133	1098
6415seudomonas_243	1044
4727seudomonas_173	1001
1895seudomonas_4	933
4711seudomonas_157	807
1930seudomonas_39	775
3417seudomonas_239	691
3961seudomonas_783	691
4686seudomonas_132	673
3295seudomonas_117	655
2211seudomonas_320	581
1414seudomonas_39	555
234seudomonas_234	541
4655seudomonas_101	537
2216seudomonas_325	532
3291seudomonas_113	501
3837seudomonas_659	464
2212seudomonas_321	424
4882seudomonas_328	408
2215seudomonas_324	398
3294seudomonas_116	386
647seudomonas_647	376
2217seudomonas_326	375
1340seudomonas_82	374
2092seudomonas_201	368
1871seudomonas_59	352
3300seudomonas_122	341
826seudomonas_20	311
3305seudomonas_127	309
3903seudomonas_725	300
824seudomonas_18	299
3289seudomonas_111	297
2185seudomonas_294	288
2183seudomonas_292	278
4634seudomonas_80	275
6230seudomonas_58	275
1504seudomonas_129	272
1922seudomonas_31	267
6124seudomonas_74	266
3468seudomonas_290	248
658seudomonas_658	244
3923seudomonas_745	240
4057seudomonas_879	234
3299seudomonas_121	218
2779seudomonas_73	217
6228seudomonas_56	215
3298seudomonas_120	204
1122seudomonas_316	197
822seudomonas_16	195
5491seudomonas_80	187
3302seudomonas_124	185
5626seudomonas_28	183
1255seudomonas_449	182
6184seudomonas_12	180
4454seudomonas_1276	177
5633seudomonas_35	172
885seudomonas_79	170
5582seudomonas_171	168
4138seudomonas_960	162
4375seudomonas_1197	160
184seudomonas_184	153
4045seudomonas_867	151
2610seudomonas_384	149
3250seudomonas_72	144
6097seudomonas_47	144
646seudomonas_646	143
1260seudomonas_2	139
4732seudomonas_178	134
2208seudomonas_317	131
4353seudomonas_1175	131
3227seudomonas_49	129
1874seudomonas_62	128
2099seudomonas_208	123
5360seudomonas_342	123
6081seudomonas_31	122
956seudomonas_150	119
4748seudomonas_194	118
3960seudomonas_782	117
3065seudomonas_359	116
2409seudomonas_183	114
984seudomonas_178	114
3136seudomonas_67	113
6295seudomonas_123	113
590seudomonas_590	112
6367seudomonas_195	112
3651seudomonas_473	110
3130seudomonas_61	109
884seudomonas_78	109
180seudomonas_180	108
1503seudomonas_128	105
2564seudomonas_338	105
2466seudomonas_240	103
4436seudomonas_1258	103
2736seudomonas_30	102
6027seudomonas_429	102
625seudomonas_625	101
3287seudomonas_109	97
5577seudomonas_166	96
1294seudomonas_36	95
1427seudomonas_52	95
3599seudomonas_421	94
4692seudomonas_138	93
3285seudomonas_107	90
5381seudomonas_363	90
6231seudomonas_59	90
825seudomonas_19	90
