protein id	RAW
2418seudomonas_192	5113
4655seudomonas_101	4032
4033seudomonas_855	2974
4799seudomonas_245	2610
6415seudomonas_243	2465
2217seudomonas_326	2336
2211seudomonas_320	1852
2667seudomonas_441	1787
1895seudomonas_4	1666
5052seudomonas_34	1622
4687seudomonas_133	1569
1930seudomonas_39	1564
2777seudomonas_71	1439
4045seudomonas_867	1370
3837seudomonas_659	1361
1951seudomonas_60	1358
2215seudomonas_324	1127
1929seudomonas_38	1110
234seudomonas_234	1103
5451seudomonas_40	1067
4882seudomonas_328	1051
3295seudomonas_117	928
2092seudomonas_201	883
2212seudomonas_321	811
4686seudomonas_132	785
5945seudomonas_347	775
3294seudomonas_116	745
1340seudomonas_82	628
2216seudomonas_325	587
2903seudomonas_197	576
3468seudomonas_290	555
180seudomonas_180	529
1255seudomonas_449	504
4727seudomonas_173	504
4600seudomonas_46	502
3305seudomonas_127	500
6081seudomonas_31	473
3300seudomonas_122	472
184seudomonas_184	463
5491seudomonas_80	462
4732seudomonas_178	451
6355seudomonas_183	441
4138seudomonas_960	436
3299seudomonas_121	432
4634seudomonas_80	421
4711seudomonas_157	404
5626seudomonas_28	404
4695seudomonas_141	400
3417seudomonas_239	398
1122seudomonas_316	391
658seudomonas_658	380
2586seudomonas_360	368
4375seudomonas_1197	367
3923seudomonas_745	365
647seudomonas_647	365
6228seudomonas_56	360
2188seudomonas_297	357
6202seudomonas_30	356
824seudomonas_18	354
3302seudomonas_124	329
1922seudomonas_31	326
4057seudomonas_879	325
3961seudomonas_783	324
5262seudomonas_244	318
5582seudomonas_171	314
1946seudomonas_55	305
5264seudomonas_246	299
1386seudomonas_11	291
435seudomonas_435	287
1871seudomonas_59	285
2185seudomonas_294	279
6124seudomonas_74	277
1260seudomonas_2	275
3065seudomonas_359	274
1066seudomonas_260	269
3250seudomonas_72	264
5974seudomonas_376	260
3289seudomonas_111	256
2565seudomonas_339	252
5577seudomonas_166	248
2939seudomonas_233	245
4376seudomonas_1198	245
2203seudomonas_312	239
1179seudomonas_373	231
826seudomonas_20	229
1427seudomonas_52	227
2409seudomonas_183	226
646seudomonas_646	220
38seudomonas_38	218
1504seudomonas_129	217
2904seudomonas_198	216
3227seudomonas_49	216
1414seudomonas_39	213
5622seudomonas_24	212
6229seudomonas_57	205
3903seudomonas_725	201
5263seudomonas_245	201
229seudomonas_229	193
3285seudomonas_107	193
885seudomonas_79	193
1947seudomonas_56	192
4764seudomonas_210	192
1874seudomonas_62	189
2421seudomonas_195	187
6097seudomonas_47	185
4373seudomonas_1195	184
3890seudomonas_712	183
6295seudomonas_123	181
3291seudomonas_113	180
6231seudomonas_59	180
3599seudomonas_421	178
956seudomonas_150	176
4450seudomonas_1272	173
65seudomonas_65	172
3064seudomonas_358	169
1981seudomonas_90	162
2784seudomonas_78	162
1401seudomonas_26	160
2564seudomonas_338	160
4272seudomonas_1094	159
4454seudomonas_1276	157
4868seudomonas_314	156
3673seudomonas_495	155
2645seudomonas_419	154
5633seudomonas_35	152
4818seudomonas_264	149
2221seudomonas_330	147
4692seudomonas_138	146
3924seudomonas_746	145
2059seudomonas_168	144
2921seudomonas_215	144
3298seudomonas_120	141
223seudomonas_223	140
5801seudomonas_203	140
3637seudomonas_459	139
6209seudomonas_37	139
6221seudomonas_49	139
6359seudomonas_187	139
196seudomonas_196	138
2502seudomonas_276	138
3301seudomonas_123	137
5353seudomonas_335	137
1305seudomonas_47	136
6027seudomonas_429	136
3772seudomonas_594	135
4273seudomonas_1095	135
4379seudomonas_1201	135
6230seudomonas_58	135
922seudomonas_116	135
3618seudomonas_440	134
3722seudomonas_544	134
