protein id	RAW
2211seudomonas_320	2355
2777seudomonas_71	2183
6415seudomonas_243	1737
4799seudomonas_245	1642
2092seudomonas_201	1091
1930seudomonas_39	1014
6081seudomonas_31	994
3295seudomonas_117	875
3961seudomonas_783	867
4882seudomonas_328	690
5451seudomonas_40	683
4634seudomonas_80	666
2418seudomonas_192	613
4045seudomonas_867	600
2215seudomonas_324	575
1895seudomonas_4	569
4686seudomonas_132	554
3837seudomonas_659	544
234seudomonas_234	532
2216seudomonas_325	511
3298seudomonas_120	509
3294seudomonas_116	406
1951seudomonas_60	378
1947seudomonas_56	369
2932seudomonas_226	352
3923seudomonas_745	334
3468seudomonas_290	317
824seudomonas_18	312
1929seudomonas_38	299
2212seudomonas_321	292
4375seudomonas_1197	280
4655seudomonas_101	279
4033seudomonas_855	273
1941seudomonas_50	270
2409seudomonas_183	258
3305seudomonas_127	249
4727seudomonas_173	241
65seudomonas_65	234
2185seudomonas_294	224
3903seudomonas_725	223
188seudomonas_188	221
4272seudomonas_1094	221
4687seudomonas_133	220
5052seudomonas_34	219
1981seudomonas_90	218
3417seudomonas_239	215
3299seudomonas_121	213
2968seudomonas_262	209
6097seudomonas_47	207
180seudomonas_180	203
3065seudomonas_359	200
4826seudomonas_272	197
2217seudomonas_326	196
4711seudomonas_157	196
5453seudomonas_42	189
3302seudomonas_124	187
4695seudomonas_141	186
1122seudomonas_316	183
1340seudomonas_82	183
4355seudomonas_1177	183
1414seudomonas_39	182
6228seudomonas_56	171
5626seudomonas_28	167
1255seudomonas_449	162
3957seudomonas_779	162
822seudomonas_16	156
3924seudomonas_746	155
4057seudomonas_879	155
956seudomonas_150	155
2565seudomonas_339	154
885seudomonas_79	154
6140seudomonas_90	150
2784seudomonas_78	147
3289seudomonas_111	147
3291seudomonas_113	142
941seudomonas_135	137
4487seudomonas_1309	136
contaminant_KERATIN22	136
4029seudomonas_851	135
658seudomonas_658	134
5264seudomonas_246	130
5491seudomonas_80	130
184seudomonas_184	129
contaminant_KERATIN03	124
2203seudomonas_312	123
6295seudomonas_123	122
6230seudomonas_58	121
1179seudomonas_373	120
6355seudomonas_183	120
3405seudomonas_227	119
4138seudomonas_960	119
6367seudomonas_195	118
4439seudomonas_1261	117
647seudomonas_647	115
5066seudomonas_48	113
5582seudomonas_171	113
5974seudomonas_376	113
1922seudomonas_31	112
1946seudomonas_55	112
4379seudomonas_1201	112
5622seudomonas_24	112
5064seudomonas_46	111
4631seudomonas_77	107
3981seudomonas_803	106
2647seudomonas_421	105
2904seudomonas_198	105
1871seudomonas_59	104
2944seudomonas_238	104
3250seudomonas_72	104
3931seudomonas_753	102
940seudomonas_134	100
1066seudomonas_260	99
6124seudomonas_74	96
2183seudomonas_292	95
1427seudomonas_52	94
2186seudomonas_295	94
4600seudomonas_46	93
4689seudomonas_135	91
4454seudomonas_1276	90
3639seudomonas_461	88
1386seudomonas_11	87
1874seudomonas_62	87
2903seudomonas_197	87
4899seudomonas_345	86
5658seudomonas_60	86
6128seudomonas_78	86
646seudomonas_646	86
contaminant_KERATIN13	86
4868seudomonas_314	85
590seudomonas_590	81
2921seudomonas_215	80
11seudomonas_11	79
3376seudomonas_198	79
3599seudomonas_421	79
contaminant_KERATIN02	79
4818seudomonas_264	78
6223seudomonas_51	78
1504seudomonas_129	76
5105seudomonas_87	76
5584seudomonas_173	76
625seudomonas_625	76
223seudomonas_223	75
4748seudomonas_194	75
2059seudomonas_168	74
2060seudomonas_169	74
5513seudomonas_102	73
1342seudomonas_84	72
38seudomonas_38	72
4353seudomonas_1175	71
5263seudomonas_245	71
6027seudomonas_429	71
3301seudomonas_123	70
3915seudomonas_737	70
3221seudomonas_43	69
3300seudomonas_122	69
5353seudomonas_335	69
2503seudomonas_277	68
5577seudomonas_166	68
1039seudomonas_233	67
3227seudomonas_49	67
3618seudomonas_440	67
3905seudomonas_727	67
2218seudomonas_327	66
3136seudomonas_67	66
4712seudomonas_158	66
4759seudomonas_205	66
2213seudomonas_322	65
5664seudomonas_66	65
70seudomonas_70	65
2159seudomonas_268	64
1260seudomonas_2	63
1969seudomonas_78	63
3958seudomonas_780	63
66seudomonas_66	63
2049seudomonas_158	62
4732seudomonas_178	62
3093seudomonas_24	61
3475seudomonas_297	61
1367seudomonas_109	60
4358seudomonas_1180	60
4486seudomonas_1308	60
6229seudomonas_57	60
6297seudomonas_125	60
4722seudomonas_168	59
2347seudomonas_121	58
3968seudomonas_790	58
4152seudomonas_974	58
927seudomonas_121	58
1357seudomonas_99	57
1934seudomonas_43	57
3066seudomonas_360	57
827seudomonas_21	57
2466seudomonas_240	56
3960seudomonas_782	56
2892seudomonas_186	55
4376seudomonas_1198	55
6231seudomonas_59	55
826seudomonas_20	55
3890seudomonas_712	54
4764seudomonas_210	54
5679seudomonas_81	53
1897seudomonas_6	52
2563seudomonas_337	52
2645seudomonas_419	52
4457seudomonas_1279	51
5262seudomonas_244	51
2610seudomonas_384	50
4647seudomonas_93	50
966seudomonas_160	50
2206seudomonas_315	49
4196seudomonas_1018	49
6384seudomonas_212	49
922seudomonas_116	49
4024seudomonas_846	48
5076seudomonas_58	48
5632seudomonas_34	48
6202seudomonas_30	48
631seudomonas_631	48
2561seudomonas_335	47
3064seudomonas_358	47
1293seudomonas_35	46
3622seudomonas_444	46
4740seudomonas_186	46
5170seudomonas_152	46
5595seudomonas_184	46
1452seudomonas_77	45
2423seudomonas_197	45
3135seudomonas_66	45
3716seudomonas_538	45
2421seudomonas_195	44
5452seudomonas_41	44
1294seudomonas_36	43
4891seudomonas_337	43
5445seudomonas_34	43
936seudomonas_130	43
2099seudomonas_208	42
2221seudomonas_330	42
1943seudomonas_52	41
2202seudomonas_311	41
2208seudomonas_317	41
2648seudomonas_422	41
4436seudomonas_1258	41
4465seudomonas_1287	41
4861seudomonas_307	41
5239seudomonas_221	41
5285seudomonas_267	41
5380seudomonas_362	41
6139seudomonas_89	41
825seudomonas_19	41
contaminant_KERATIN15	41
1882seudomonas_70	40
235seudomonas_235	40
3130seudomonas_61	40
5437seudomonas_26	40
2564seudomonas_338	39
3214seudomonas_36	39
3558seudomonas_380	39
4859seudomonas_305	39
6389seudomonas_217	39
6411seudomonas_239	39
2424seudomonas_198	38
3499seudomonas_321	38
5434seudomonas_23	38
5446seudomonas_35	38
1435seudomonas_60	37
1546seudomonas_171	37
2043seudomonas_152	37
2545seudomonas_319	37
3183seudomonas_5	37
3722seudomonas_544	37
