protein id	RAW
4799seudomonas_245	4550
4686seudomonas_132	2247
2217seudomonas_326	2178
2211seudomonas_320	2100
2777seudomonas_71	1799
2418seudomonas_192	1504
1951seudomonas_60	1245
3468seudomonas_290	1181
4045seudomonas_867	1158
4655seudomonas_101	1029
4687seudomonas_133	972
658seudomonas_658	919
3923seudomonas_745	865
1930seudomonas_39	831
4033seudomonas_855	827
5052seudomonas_34	784
5451seudomonas_40	772
6415seudomonas_243	737
234seudomonas_234	733
4882seudomonas_328	704
2212seudomonas_321	650
5945seudomonas_347	607
2216seudomonas_325	560
6124seudomonas_74	530
3295seudomonas_117	524
3961seudomonas_783	517
3298seudomonas_120	503
2409seudomonas_183	497
4727seudomonas_173	472
184seudomonas_184	458
3294seudomonas_116	454
2092seudomonas_201	448
2565seudomonas_339	441
3957seudomonas_779	436
6228seudomonas_56	434
2215seudomonas_324	425
1929seudomonas_38	386
1895seudomonas_4	385
6081seudomonas_31	377
2968seudomonas_262	375
180seudomonas_180	364
3903seudomonas_725	361
2185seudomonas_294	359
824seudomonas_18	359
5626seudomonas_28	341
1871seudomonas_59	339
3289seudomonas_111	306
3981seudomonas_803	292
4436seudomonas_1258	288
3291seudomonas_113	285
3837seudomonas_659	285
4138seudomonas_960	282
3305seudomonas_127	281
4711seudomonas_157	274
647seudomonas_647	268
1414seudomonas_39	265
3299seudomonas_121	260
5513seudomonas_102	240
6295seudomonas_123	232
5491seudomonas_80	231
2466seudomonas_240	225
6355seudomonas_183	225
4634seudomonas_80	222
3302seudomonas_124	221
5453seudomonas_42	221
2932seudomonas_226	220
3250seudomonas_72	219
1122seudomonas_316	212
922seudomonas_116	211
4740seudomonas_186	210
6027seudomonas_429	210
827seudomonas_21	210
1066seudomonas_260	209
5582seudomonas_171	209
4379seudomonas_1201	202
3065seudomonas_359	199
4454seudomonas_1276	195
4487seudomonas_1309	186
4057seudomonas_879	179
4375seudomonas_1197	179
3960seudomonas_782	173
826seudomonas_20	170
3285seudomonas_107	169
6097seudomonas_47	169
2152seudomonas_261	157
502seudomonas_502	155
1427seudomonas_52	153
5632seudomonas_34	153
966seudomonas_160	152
3066seudomonas_360	151
5619seudomonas_21	151
3772seudomonas_594	150
1340seudomonas_82	149
2891seudomonas_185	147
4868seudomonas_314	147
3599seudomonas_421	146
3064seudomonas_358	145
5381seudomonas_363	144
6384seudomonas_212	143
625seudomonas_625	142
4272seudomonas_1094	141
2502seudomonas_276	140
4689seudomonas_135	136
3296seudomonas_118	135
3227seudomonas_49	134
885seudomonas_79	132
3924seudomonas_746	131
1386seudomonas_11	130
2159seudomonas_268	130
435seudomonas_435	129
1874seudomonas_62	127
5353seudomonas_335	127
5264seudomonas_246	126
646seudomonas_646	126
2424seudomonas_198	123
4695seudomonas_141	123
1260seudomonas_2	122
2904seudomonas_198	121
3417seudomonas_239	119
1952seudomonas_61	118
1179seudomonas_373	117
2186seudomonas_295	117
1357seudomonas_99	116
2610seudomonas_384	116
2903seudomonas_197	116
4759seudomonas_205	115
5595seudomonas_184	114
1941seudomonas_50	113
6223seudomonas_51	113
941seudomonas_135	112
5361seudomonas_343	111
4376seudomonas_1198	109
4457seudomonas_1279	108
5577seudomonas_166	107
6229seudomonas_57	107
1401seudomonas_26	106
2182seudomonas_291	106
5105seudomonas_87	106
1503seudomonas_128	105
4373seudomonas_1195	105
2784seudomonas_78	104
4747seudomonas_193	104
5064seudomonas_46	104
1946seudomonas_55	103
3136seudomonas_67	103
5262seudomonas_244	103
825seudomonas_19	103
1981seudomonas_90	102
2183seudomonas_292	102
1934seudomonas_43	101
2944seudomonas_238	101
65seudomonas_65	100
3135seudomonas_66	98
5584seudomonas_173	97
6411seudomonas_239	97
2890seudomonas_184	94
4861seudomonas_307	94
11seudomonas_11	93
1504seudomonas_129	93
4818seudomonas_264	93
4891seudomonas_337	93
3650seudomonas_472	92
1897seudomonas_6	91
2423seudomonas_197	91
181seudomonas_181	90
2059seudomonas_168	90
590seudomonas_590	90
6221seudomonas_49	90
807seudomonas_1	90
3056seudomonas_350	88
4692seudomonas_138	88
1922seudomonas_31	87
2503seudomonas_277	86
4764seudomonas_210	86
2563seudomonas_337	85
856seudomonas_50	85
1255seudomonas_449	84
3618seudomonas_440	84
4859seudomonas_305	84
1947seudomonas_56	83
2043seudomonas_152	83
2197seudomonas_306	83
3931seudomonas_753	83
5653seudomonas_55	83
5974seudomonas_376	83
6209seudomonas_37	83
4722seudomonas_168	82
720seudomonas_720	82
6005seudomonas_407	81
2203seudomonas_312	80
3958seudomonas_780	80
4196seudomonas_1018	80
3080seudomonas_11	79
3475seudomonas_297	79
4450seudomonas_1272	78
4658seudomonas_104	78
2397seudomonas_171	77
5360seudomonas_342	77
5621seudomonas_23	77
3046seudomonas_340	76
3094seudomonas_25	76
4806seudomonas_252	75
1031seudomonas_225	73
1969seudomonas_78	73
4024seudomonas_846	73
5380seudomonas_362	73
6184seudomonas_12	73
6296seudomonas_124	73
1146seudomonas_340	72
1935seudomonas_44	72
4128seudomonas_950	72
2099seudomonas_208	71
3376seudomonas_198	71
70seudomonas_70	71
1452seudomonas_77	70
2564seudomonas_338	70
2939seudomonas_233	70
3288seudomonas_110	70
5679seudomonas_81	70
3722seudomonas_544	69
2120seudomonas_229	68
5009seudomonas_455	68
5063seudomonas_45	68
223seudomonas_223	67
6413seudomonas_241	67
2719seudomonas_13	66
5931seudomonas_333	66
6078seudomonas_28	66
3214seudomonas_36	65
3405seudomonas_227	65
4355seudomonas_1177	65
902seudomonas_96	65
1715seudomonas_108	64
192seudomonas_192	64
2788seudomonas_82	64
4307seudomonas_1129	64
4486seudomonas_1308	64
3639seudomonas_461	63
4353seudomonas_1175	63
5649seudomonas_51	63
67seudomonas_67	63
1945seudomonas_54	62
3637seudomonas_459	62
5516seudomonas_105	62
3221seudomonas_43	61
3547seudomonas_369	61
5427seudomonas_16	61
2049seudomonas_158	60
229seudomonas_229	60
3622seudomonas_444	60
385seudomonas_385	60
4732seudomonas_178	60
66seudomonas_66	60
884seudomonas_78	60
936seudomonas_130	60
3300seudomonas_122	59
3499seudomonas_321	59
4358seudomonas_1180	59
3609seudomonas_431	58
3651seudomonas_473	58
3654seudomonas_476	58
3621seudomonas_443	57
38seudomonas_38	57
5580seudomonas_169	57
6367seudomonas_195	57
1013seudomonas_207	56
