protein id	RAW
4799seudomonas_245	6875
4686seudomonas_132	5613
1951seudomonas_60	3333
3295seudomonas_117	1938
4033seudomonas_855	1514
4687seudomonas_133	1366
4045seudomonas_867	1338
184seudomonas_184	1310
2212seudomonas_321	1294
6355seudomonas_183	1230
4138seudomonas_960	1182
2216seudomonas_325	1092
3923seudomonas_745	1087
2211seudomonas_320	1025
4882seudomonas_328	908
3294seudomonas_116	801
2565seudomonas_339	768
6415seudomonas_243	750
234seudomonas_234	728
3903seudomonas_725	718
1930seudomonas_39	660
2217seudomonas_326	655
4057seudomonas_879	573
827seudomonas_21	541
2410seudomonas_184	540
1895seudomonas_4	537
3772seudomonas_594	527
1929seudomonas_38	523
3135seudomonas_66	514
2215seudomonas_324	509
5082seudomonas_64	481
3064seudomonas_358	459
3468seudomonas_290	458
3651seudomonas_473	445
2185seudomonas_294	435
5626seudomonas_28	434
4454seudomonas_1276	423
824seudomonas_18	394
2418seudomonas_192	389
3299seudomonas_121	387
5451seudomonas_40	387
6367seudomonas_195	379
4748seudomonas_194	376
3961seudomonas_783	364
4727seudomonas_173	361
3837seudomonas_659	356
2218seudomonas_327	351
3285seudomonas_107	350
2736seudomonas_30	331
885seudomonas_79	330
658seudomonas_658	321
1981seudomonas_90	319
2219seudomonas_328	315
6081seudomonas_31	312
4800seudomonas_246	310
3481seudomonas_303	299
1503seudomonas_128	292
1255seudomonas_449	281
6228seudomonas_56	277
5491seudomonas_80	275
1504seudomonas_129	273
3650seudomonas_472	269
3390seudomonas_212	267
3298seudomonas_120	258
4436seudomonas_1258	256
6295seudomonas_123	250
2891seudomonas_185	247
2220seudomonas_329	243
5633seudomonas_35	243
4759seudomonas_205	242
1386seudomonas_11	241
2777seudomonas_71	238
3639seudomonas_461	237
1066seudomonas_260	236
3499seudomonas_321	235
1013seudomonas_207	231
826seudomonas_20	230
2923seudomonas_217	229
966seudomonas_160	228
1446seudomonas_71	225
3056seudomonas_350	222
3289seudomonas_111	220
2932seudomonas_226	217
3661seudomonas_483	216
3981seudomonas_803	216
5582seudomonas_171	215
1952seudomonas_61	213
3136seudomonas_67	213
2890seudomonas_184	211
5580seudomonas_169	211
6184seudomonas_12	210
1122seudomonas_316	206
3405seudomonas_227	202
223seudomonas_223	195
2799seudomonas_93	192
5652seudomonas_54	192
6124seudomonas_74	190
6097seudomonas_47	185
3599seudomonas_421	182
3305seudomonas_127	181
4694seudomonas_140	181
3066seudomonas_360	180
1946seudomonas_55	177
5595seudomonas_184	176
3065seudomonas_359	175
385seudomonas_385	169
4164seudomonas_986	168
1948seudomonas_57	165
2610seudomonas_384	164
3637seudomonas_459	164
5958seudomonas_360	162
4692seudomonas_138	160
180seudomonas_180	159
2784seudomonas_78	157
4450seudomonas_1272	155
4655seudomonas_101	155
221seudomonas_221	150
1947seudomonas_56	149
2424seudomonas_198	148
825seudomonas_19	148
4375seudomonas_1197	147
1427seudomonas_52	146
2043seudomonas_152	146
1801seudomonas_194	144
3288seudomonas_110	140
3722seudomonas_544	137
3960seudomonas_782	135
902seudomonas_96	134
2183seudomonas_292	132
