protein id	RAW
4799seudomonas_245	6768
1951seudomonas_60	3560
4686seudomonas_132	3242
2211seudomonas_320	2270
2216seudomonas_325	1726
1895seudomonas_4	1663
3295seudomonas_117	1587
4033seudomonas_855	1510
2212seudomonas_321	1505
4882seudomonas_328	1404
3961seudomonas_783	1365
1930seudomonas_39	1194
2777seudomonas_71	1034
824seudomonas_18	1004
3923seudomonas_745	993
2565seudomonas_339	941
184seudomonas_184	932
3289seudomonas_111	906
4687seudomonas_133	826
2215seudomonas_324	825
6081seudomonas_31	806
234seudomonas_234	805
3294seudomonas_116	794
3468seudomonas_290	774
3772seudomonas_594	711
4045seudomonas_867	709
6295seudomonas_123	678
3298seudomonas_120	624
2932seudomonas_226	617
6097seudomonas_47	602
3299seudomonas_121	600
827seudomonas_21	576
2217seudomonas_326	544
4057seudomonas_879	532
6415seudomonas_243	514
658seudomonas_658	509
4138seudomonas_960	503
2410seudomonas_184	498
3046seudomonas_340	472
2218seudomonas_327	461
6367seudomonas_195	453
3837seudomonas_659	425
5451seudomonas_40	418
826seudomonas_20	410
2219seudomonas_328	397
902seudomonas_96	382
4692seudomonas_138	373
3661seudomonas_483	371
5633seudomonas_35	370
6355seudomonas_183	369
2188seudomonas_297	368
2185seudomonas_294	365
885seudomonas_79	339
180seudomonas_180	338
4655seudomonas_101	323
4436seudomonas_1258	306
3136seudomonas_67	305
956seudomonas_150	302
3903seudomonas_725	293
3981seudomonas_803	291
825seudomonas_19	290
2418seudomonas_192	286
3639seudomonas_461	282
4711seudomonas_157	280
3285seudomonas_107	262
3481seudomonas_303	260
966seudomonas_160	259
2092seudomonas_201	253
3651seudomonas_473	252
3302seudomonas_124	249
941seudomonas_135	247
4748seudomonas_194	242
2214seudomonas_323	238
3637seudomonas_459	232
3650seudomonas_472	231
1981seudomonas_90	227
5292seudomonas_274	227
6228seudomonas_56	225
4727seudomonas_173	224
5491seudomonas_80	223
1929seudomonas_38	219
4974seudomonas_420	219
2891seudomonas_185	218
3135seudomonas_66	217
4800seudomonas_246	214
5582seudomonas_171	214
4435seudomonas_1257	207
5595seudomonas_184	207
2784seudomonas_78	206
1504seudomonas_129	205
3291seudomonas_113	202
2183seudomonas_292	201
2424seudomonas_198	200
2206seudomonas_315	196
6297seudomonas_125	196
223seudomonas_223	195
1260seudomonas_2	192
192seudomonas_192	192
2200seudomonas_309	190
2890seudomonas_184	190
4487seudomonas_1309	190
3475seudomonas_297	189
5626seudomonas_28	187
67seudomonas_67	187
2195seudomonas_304	185
4689seudomonas_135	184
3221seudomonas_43	182
4029seudomonas_851	181
2043seudomonas_152	180
833seudomonas_27	178
3056seudomonas_350	175
1871seudomonas_59	174
3305seudomonas_127	174
1503seudomonas_128	173
1969seudomonas_78	172
4818seudomonas_264	172
3958seudomonas_780	171
4658seudomonas_104	171
6184seudomonas_12	169
6361seudomonas_189	169
3931seudomonas_753	168
1386seudomonas_11	167
984seudomonas_178	164
4806seudomonas_252	162
1122seudomonas_316	158
3227seudomonas_49	156
3924seudomonas_746	155
2944seudomonas_238	152
1934seudomonas_43	150
2192seudomonas_301	150
4024seudomonas_846	150
884seudomonas_78	150
2522seudomonas_296	149
1446seudomonas_71	148
2187seudomonas_296	146
3621seudomonas_443	146
1340seudomonas_82	145
2203seudomonas_312	143
3065seudomonas_359	143
4357seudomonas_1179	143
1922seudomonas_31	142
3905seudomonas_727	142
2521seudomonas_295	141
4454seudomonas_1276	139
1874seudomonas_62	137
4272seudomonas_1094	137
2717seudomonas_11	136
1952seudomonas_61	134
2798seudomonas_92	134
2220seudomonas_329	133
4486seudomonas_1308	133
6231seudomonas_59	133
5082seudomonas_64	130
1367seudomonas_109	128
385seudomonas_385	127
1255seudomonas_449	126
221seudomonas_221	125
2466seudomonas_240	125
4355seudomonas_1177	125
4868seudomonas_314	125
6229seudomonas_57	125
1179seudomonas_373	123
1406seudomonas_31	123
2409seudomonas_183	122
3417seudomonas_239	121
4747seudomonas_193	120
5619seudomonas_21	120
6050seudomonas_452	119
822seudomonas_16	118
2213seudomonas_322	117
2209seudomonas_318	116
3052seudomonas_346	115
71seudomonas_71	115
807seudomonas_1	115
1039seudomonas_233	114
3831seudomonas_653	111
3968seudomonas_790	111
188seudomonas_188	110
2892seudomonas_186	110
3250seudomonas_72	109
3622seudomonas_444	109
5664seudomonas_66	107
70seudomonas_70	107
2059seudomonas_168	106
3502seudomonas_324	106
1368seudomonas_110	105
4740seudomonas_186	105
2208seudomonas_317	103
2524seudomonas_298	102
6221seudomonas_49	102
2414seudomonas_188	101
4196seudomonas_1018	101
2563seudomonas_337	100
3405seudomonas_227	100
3618seudomonas_440	99
4639seudomonas_85	99
4847seudomonas_293	99
5958seudomonas_360	99
1801seudomonas_194	98
3094seudomonas_25	98
5622seudomonas_24	98
4439seudomonas_1261	97
